#Fuzhou dialect 平話字 https://transliterationisfun.blogspot.com/2016/09/chinese-character-to-eastern-min.html
345 = "Jïn hé"
#China
660 = "Le-geng" #丽江
661 = "Ing-chiong" #永昌
662 = "Ling-ang" #临安
663 = "U-diang" #武定
664 = "Se-chiong" #四川
665 = "Kui-ciu" #夔州
667 = "Goi-iong" #贵阳
668 = "Ang-song" #安顺
669 = "Seng-ciu" #辰州
670 = "Dong-sa" #长沙
671 = "Tai-bang" #太平
672 = "Gie-ling" #桂林
673 = "Loi-ciu" #雷州
674 = "Ging-ciu" #琼州
675 = "Go-ciu" #高州
676 = "Duai-hie-sang" #大系山
677 = "Hiong-sang" #香山
678 = "Hie-ciu" #惠州
679 = "Ciong-ciu" #漳州
680 = "Hok-ciu" #福州
681 = "Gong-ciu" #赣州
682 = "Gek-ang" #吉安
683 = "Heng-ciu" #衡州
684 = "Gui-ciu" #归州
685 = "Daeng-keng" #重庆#
686 = "La-ciu" #澧州#
687 = "Ung-iong" #郧阳
688 = "Siong-iong" #襄阳
689 = "Seu-ciu" #泗州
690 = "Lek-ang" #六安
691 = "Hui-ciu" #徽州
692 = "Ung-ciu" #温州
693 = "Gu-ciu" #衢州
694 = "Sung-geng" #松江
695 = "Ning-guok" #寧国
696 = "Suk-iong" #沭阳
697 = "Deng-ciu" #登州
698 = "Ieng-ciu" #兖州
699 = "Chiang-ciu" #青州
700 = "Ciong-daik" #彰德
701 = "Kui-hu" #开封
702 = "O-nang" #河南
703 = "Song-daik" #顺德
704 = "Bo-diang" #保定
705 = "O-gang" #河间
706 = "Ing-bang" #永平
707 = "Guong-ning" #廣寧
708 = "Song-tieng" #顺天
709 = "Song-hu" #宣府
710 = "Ngu-ciu" #梧州
711 = "Dieu-keng" #肇庆
712 = "Ngieu-ciu" #饶州
724 = "Cing-diang" #真定
1041 = "Ca-nang" #济南
1043 = "Su-nang" #思南
1046 = "Ga-hing" #嘉兴
1053 = "Ciong-ciu" #泉州
1068 = "Su-ciu" #苏州
1089 = "Hong-ciu" #杭州
1143 = "Lu-ciu" #泸州 (鱸 used for gloss)
1172 = "U-chiong" #武昌
1337 = "Siang-du" #成都
1758 = "Keuk-ceng" #曲靖
1759 = "Nguong-geng" #元江
1760 = "Sing-ciu" #寻州
2119 = "Ang-sa" #安西
2073 = "Nang-ning" #南寧
2078 = "Su-ong" #思恩
2082 = "Liu-ciu" #柳州
2083 = "Duai-li" #大理
2085 = "La-bang" #黎平
2086 = "Bang-loh" #平乐
2117 = "Lieng-ciu" #廉州
2121 = "Guong-ciu" #廣州
2125 = "Deng-geng" #镇江
2141 = "Uong-ngang" #黄岩
2142 = "Cheu-ciu" #处州
2144 = "Die-ciu" #池州
2145 = "Sieu-hing" #绍兴
2147 = "Siong-ciu" #常州
2148 = "Su-ciu" #徐州
2149 = "Du-ciu" #滁州
2150 = "Eng-tieng" #应天
2162 = "Do-ciu" #洮州 (逃 used for gloss)
2170 = "Hang-dung" #汉中
2246 = "Lo-ang" #潞安
2247 = "Duai-dung" #大同
2249 = "Ging-ciu" #金州
2250 = "Ing-ciu" #永州
2251 = "Iong-ang" #延安
2252 = "Sa-ang" #西安
2254 = "Ning-ha" #寧夏
2255 = "Sung-pang" #松潘
2256 = "Do-chiong" #巩昌
2257 = "Gang-ciu" #甘州
2272 = "Ning-po" #寧波
2303 = "Gie-lung" #雞籠
2304 = "Sai-cai" #獅仔
2305 = "Duai-uong" #大员
2326 = "Song-ning" #顺寧
2462 = "Sieu-ciu" #韶州
2464 = "Lo-diang" #罗定
2467 = "Dek-ciu" #泽州
2468 = "Tai-nguong" #太原
2471 = "Bang-long" #平阳
2472 = "Nu-ning" #汝寧
2476 = "Hung-ciu" #汾州
2477 = "Nang-chiong" #南昌
2478 = "Ling-geng" #临江
2480 = "Nang-kong" #南康
2484 = "Giong-ning" #建寧
2485 = "Gui-daik" #归德
2486 = "Dieu-ciu" #潮州
2488 = "Ting-ciu" #汀州
2490 = "Hok-ning" #福寧
2491 = "Deng-chiong" #东昌
2492 = "Lai-ciu" #莱州
2493 = "Chiong-hua" #昌化
2494 = "Ging-hua" #金华
2510 = "Seu-ciu" #叙州
2560 = "Duai-miang" #大名
2605 = "Nang-iong" #南阳
2606 = "Iong-bang" #延平
2607 = "Iong-ciu" #扬州
2613 = "Ang-keng" #安庆
2753 = "Ging-hung" #景洪
2793 = "Ga-diang" #嘉定
3939 = "Hai-nang" #海南
3977 = "Hu-ciu" #湖州
4035 = "Lieu-iong" #辽阳
4036 = "Diang-lieu" #定辽
4037 = "Ang-loh" #安乐
5371 = "Guong-bang" #廣平
5372 = "Ching-ciu" #深州
5373 = "Iong-keng" #延庆
5374 = "Dauk-ciu" #涿州 (琢 used for gloss)
5375 = "Mik-hung" #密云
5376 = "Tieng-cing" #天津
5377 = "Gie-ciu" #蓟州
5378 = "Ui-hai" #威海
5379 = "Geu-ciu" #胶州
5380 = "Ling-gu" #临朐 (鴝 used for gloss)
5381 = "Cu-siang" #诸城
5382 = "Lu-ciu" #莒州
5383 = "Mung-ing" #蒙阴
5384 = "Gi-ciu" #沂州
5385 = "Co-ciu" #曹州
5386 = "Deng-bang" #东平
5387 = "Tai-ang" #泰安
5388 = "Daik-ciu" #德州
5389 = "Bing-ciu" #滨州
5390 = "Hai-ciu" #海州
5391 = "Pi-ciu" #邳州 (丕 used for gloss)
5392 = "Huai-ang" #淮安
5393 = "Hing-hua" #兴化
5394 = "Tung-ciu" #通州
5395 = "Tai-ciu" #泰州
5396 = "Lek-hak" #六合
5397 = "Geng-ning" #江寧
5398 = "U-sek" #无锡
5399 = "Ngu-geng" #吴江
5400 = "Tai-ciek" #太仓
5401 = "Siong-hai" #上海
5402 = "Ing-ciu" #颍州 (穎 used for gloss)
5403 = "Seu-ciu" #宿州
5404 = "Ngo-o" #五河
5405 = "Hong-iong" #凤阳
5406 = "Lu-ciu" #庐州
5407 = "Tai-bang" #太平
5409 = "Deng-iong" #东阳
5410 = "Suoi-chiong" #遂昌
5411 = "Soi-ang" #瑞安
5412 = "Dai-ciu" #台州
5413 = "Hong-hua" #奉化
5414 = "Cu-ge" #诸暨 (既 used for gloss)
5415 = "Ang-gek" #安吉
5416 = "Bang-hu" #平湖
5417 = "Ngien-gciu" #严州
5418 = "Hing-hua" #兴化
5419 = "Ing-chung" #永春
5420 = "Lung-ngang" #龙岩
5421 = "Duai-cheng" #大田
5422 = "Sieu-u" #邵武
5423 = "Cung-ang" #崇安
5424 = "Guong-seng" #廣信
5425 = "Peu-liong" #浮梁
5426 = "U-ciu" #抚州
5427 = "Ngi-uong" #宜黄
5428 = "Giong-chiong" #建昌
5429 = "Ning-du" #寧都
5430 = "Nang-ang" #南安
5431 = "Ing-hung" #永丰
5432 = "Nguong-ciu" #袁州
5433 = "Soi-ciu" #瑞州
5434 = "Ning-ciu" #寧州
5435 = "Gau-geng" #九江
5436 = "Tiang-hiong" #程乡
5437 = "Lung-chiong" #龙川
5438 = "Nang-hung" #南雄
5439 = "Lieng-ciu" #连州
5440 = "Deng-uang" #东莞
5441 = "Sing-huoi" #新会
5442 = "Seu-siang" #泗城
5443 = "Keng-huong" #庆远
5444 = "Du-ung" #都匀
5445 = "Diang-huang" #定番
5446 = "Ma-hu" #马湖
5447 = "Bo-ciu" #播州
5448 = "Dung-ciu" #忠州
5450 = "Lung-ang" #龙安
5455 = "Ing-song" #永顺
5456 = "Ceng-ciu" #靖州
5457 = "Bo-keng" #宝庆
5458 = "Ting-ciu" #郴州 (琛 used for gloss)
5459 = "Siong-ing" #湘阴
5460 = "Siong-daik" #常德
5461 = "Sie-ciu" #施州
5462 = "Ging-ciu" #荆州
5463 = "Ging-muong" #荆门
5464 = "Ngok-ciu" #岳州
5465 = "Hang-iong" #汉阳
5466 = "Uong-ciu" #黄州
5467 = "Ma-siang" #麻城
5468 = "Daik-ang" #德安
5469 = "Uoi-hui" #卫辉
5470 = "Huai-keng" #怀庆
